date,PS_OL(tonVS),FWW_OL(tonVS),Digester B_TS(%),Digester B_VS(%),Digester B_CH4(%),Digester B_CO2(%),Digester B_H2S,Biogas B
2019-02-28,4.981507823613068,12.2763618,0.0322,0.01628998,,,,16654.5
2019-03-01,5.174964438122314,12.34456381,0.0322,0.01628998,,,,16322.5
2019-03-02,5.803698435277361,12.48096783,0.0322,0.01628998,,,,16481.0
2019-03-03,4.884779516358445,12.003553759999999,0.0322,0.01628998,,,,16227.5
2019-03-04,4.133409350057013,7.905557449710177,0.0303,0.0151197,,,,15320.5
2019-03-05,3.812713797035348,10.017729287419003,0.0303,0.0151197,0.622,0.382,87.0,14967.0
2019-03-06,5.852062588904672,8.8662613,0.0322,0.01628998,0.624,0.385,87.0,15246.0
2019-03-07,5.900426742531983,10.162099490000001,0.0322,0.01628998,,,,14188.5
2019-03-08,4.7880512091038225,12.2763618,0.0322,0.01628998,,,,14878.0
2019-03-09,4.546230440967266,10.84411959,0.0322,0.01628998,0.617,0.381,70.0,15513.5
2019-03-10,7.448079658605947,11.93535175,0.0322,0.01628998,,,,14752.5
2019-03-11,7.012802275960144,11.11692763,0.0322,0.01628998,,,,14559.5
2019-03-12,6.287339971550474,10.571311549999999,0.0322,0.01628998,,,,14447.0
2019-03-13,6.818351857846837,12.369784095191948,0.03588690188496866,0.021507974867085652,,,,14448.0
2019-03-14,5.152800258983487,12.444300866849732,0.03588690188496866,0.021507974867085652,,,,14281.5
2019-03-15,4.320024459551813,13.15216367312955,0.03588690188496866,0.021507974867085652,0.6,0.393,88.0,14039.0
2019-03-16,7.390885219956113,13.824717497323675,0.03588690188496866,0.021507974867085652,,,,15547.0
2019-03-17,6.089673033344122,9.938850957535399,0.03588690188496866,0.021507974867085652,,,,14494.5
2019-03-18,6.558109420524438,12.927979065064843,0.03588690188496866,0.021507974867085652,0.629,0.377,85.0,15132.0
2019-03-19,6.870400345311316,10.536676579041288,0.03588690188496866,0.021507974867085652,,,,15199.0
